code,name
001,CESSNOCK
002,DUNGOG
004,LAKE MACQUARIE
005,MAITLAND
007,MUSWELLBROOK
008,NEWCASTLE
010,PORT STEPHENS
012,SINGLETON
018,BEGA VALLEY
042,COWRA
043,WEDDIN
050,ALBURY
051,BERRIGAN
052,CARRATHOOL
054,COOLAMON
061,JUNEE
065,LEETON
066,LOCKHART
070,NARRANDERA
074,GRIFFITH
081,THE HILLS SHIRE
082,HORNSBY
083,HUNTERS HILL
084,KU-RING-GAI
085,LANE COVE
087,MOSMAN
088,NORTH SYDNEY
090,RYDE
092,WILLOUGHBY
097,EUROBODALLA
098,KIAMA
100,SHELLHARBOUR
101,SHOALHAVEN
102,WINGECARRIBEE
103,WOLLONGONG
109,CABONNE
116,PARKES
117,FORBES
118,BLAYNEY
123,OBERON
124,ORANGE
137,BURWOOD
139,CANADA BAY
143,STRATHFIELD
144,SUTHERLAND
148,BALLINA
149,BELLINGEN
150,BYRON
151,RICHMOND VALLEY
152,COFFS HARBOUR
157,KEMPSEY
158,KYOGLE
159,LISMORE
164,NAMBUCCA
171,TWEED
187,GUNNEDAH
188,INVERELL
192,MOREE PLAINS
199,URALLA
207,RANDWICK
209,WAVERLEY
210,WOOLLAHRA
214,BLACKTOWN
216,BLUE MOUNTAINS
217,CAMDEN
218,CAMPBELLTOWN
219,HAWKESBURY
220,FAIRFIELD
222,LITHGOW
223,LIVERPOOL
224,PENRITH
226,WOLLONDILLY
230,BALRANALD
231,BLAND
232,BOGAN
233,BREWARRINA
234,BROKEN HILL
235,CENTRAL DARLING
236,COBAR
238,COONAMBLE
239,BOURKE
240,GILGANDRA
243,HAY
244,LACHLAN
247,NARRABRI
250,TENTERFIELD
251,NARROMINE
252,WALCHA
253,WALGETT
254,WARREN
255,WENTWORTH
257,ARMIDALE REGIONAL
258,CANTERBURY-BANKSTOWN
259,CENTRAL COAST
260,CITY OF PARRAMATTA
261,CUMBERLAND
262,EDWARD RIVER
263,FEDERATION
264,GEORGES RIVER
265,COOTAMUNDRA-GUNDAGAI REGIONAL
266,HILLTOPS
267,INNER WEST
268,MID-COAST
269,MURRAY RIVER
270,MURRUMBIDGEE
271,NORTHERN BEACHES
272,QUEANBEYAN-PALERANG REGIONAL
273,SNOWY MONARO REGIONAL
274,SNOWY VALLEYS
275,DUBBO REGIONAL
276,BAYSIDE
300,GWYDIR
301,LIVERPOOL PLAINS
302,GLEN INNES SEVERN
303,CLARENCE VALLEY
511,UPPER HUNTER
526,UPPER LACHLAN
528,YASS VALLEY
529,GOULBURN MULWAREE
537,WARRUMBUNGLE
538,TEMORA
560,GREATER HUME
575,WAGGA WAGGA
608,BATHURST REGIONAL
620,MID WESTERN REGIONAL
656,PORT MACQUARIE-HASTINGS
666,TAMWORTH REGIONAL
708,CITY OF SYDNEY
902,UNINCORPORATED AREA
903,UNINCORPORATED SYDNEY HARBOUR
